page	line_AVF
24884927550.0	0.64113724
24884927551.0	0.63703114
24884927552.0	0.6411562
24884927554.0	0.63257366
24884927555.0	0.63344055
24884927557.0	0.642231
24884927563.0	0.5998071
24884927564.0	0.5161286
24884927565.0	0.5185088
24884927567.0	0.64168906
24884927568.0	0.6434347
24884927569.0	0.64279383
24884927573.0	0.6394689
24884927575.0	0.6356998
24884927576.0	0.5896257
24884927577.0	0.5633977
24884927578.0	0.55316615
24884927579.0	0.53047264
24884927580.0	0.5305603
24884927581.0	0.51547885
24884927584.0	0.5583946
24884927587.0	0.5311813
24884927588.0	0.6091082
24884927589.0	0.5204758
24884927590.0	0.6278149
24884927591.0	0.6278288
24884927592.0	0.6278961
24884927593.0	0.62802494
24884927594.0	0.6307739
24884927595.0	0.62981784
24884927596.0	0.62821513
24884927597.0	0.63022286
24884927598.0	0.6301548
24884927599.0	0.6304232
24884927600.0	0.63034606
24884927601.0	0.6312111
24884927602.0	0.638141
24884927603.0	0.63042444
24884927604.0	0.6301939
24884927605.0	0.6303767
24884927606.0	0.63569444
24884927607.0	0.63025165
24884927608.0	0.6331036
24884927609.0	0.630212
24884927610.0	0.6304049
24884927611.0	0.63755274
24884927612.0	0.6304986
24884927613.0	0.63024306
24884927614.0	0.63801146
24884927615.0	0.6329274
24884927616.0	0.6366912
24884927617.0	0.6330147
24884927618.0	0.6412669
24884927619.0	0.63338864
24884927620.0	0.6367811
24884927621.0	0.6367591
24884927622.0	0.63444495
24884927623.0	0.63379824
24884927624.0	0.63413966
24884927625.0	0.6341321
24884927626.0	0.6341453
24884927627.0	0.63423884
24884927628.0	0.63435626
24884927629.0	0.6344563
24884927630.0	0.634358
24884927631.0	0.63529724
24884927632.0	0.63611436
24884927633.0	0.6344774
24884927634.0	0.63457525
24884927635.0	0.6357912
24884927636.0	0.6362506
24884927637.0	0.63535637
24884927638.0	0.63544124
24884927639.0	0.6354837
24884927640.0	0.6355369
24884927641.0	0.6355921
24884927642.0	0.63565075
24884927643.0	0.63572663
24884927644.0	0.63617283
24884927645.0	0.6360343
24884927646.0	0.6363861
24884927647.0	0.63712054
24884927648.0	0.6372477
24884927649.0	0.64109707
24884927650.0	0.64078003
24884927651.0	0.6429904
24884927652.0	0.6441754
